job_add,job_duty,job_name,job_require,job_time,job_type
深圳,"腾讯音乐大数据ABTest、数据资产治理、数据可视化系统的开发建设，提升音乐数据运营的质量和效率 ；
负责各平台系统Web前后端架构/代码层面的专项分析优化，对代码研发质量和系统性能负责。
",TME-数据中心运营开发工程师,"计算机相关专业本科及以上学历，出色的编程能力，3年以上数据中台搭建相关工作经验者优先，具有优秀的产品sense和逻辑思维，全栈开发优先；
能熟练使用主流的Java/Python框架，如Springboot，Django，Flask, 消息队列等；熟悉shell脚本，有awk等使用经验；熟悉Mysql、Postgresql相关知识；
能熟练使用主流的JavaScript框架或JavaScript库,熟练vuejs/react/angular等MVC框架，熟悉echart，antV，highcharts等常用可视化库 ，有丰富的前端数据可视化经验，熟悉 NodeJS, ES6, SASS/LESS, HTML5, CSS3, SVG 编程，熟悉superset二次开发者优先；
了解大数据处理框架（Hadoop/Hive/Spark/Kylin）相关技术，对相关框架Kafka/Storm/SparkStreaming/Flink有一定了解，有实际应用经验优先;
具备强烈的技术热情和良好的学习能力、分析、解决、汇报能力，善于合作、乐于分享、责任心强，能够保持高效的执行力及工作节奏。
",2020年06月10日,技术
北京,"负责全民K歌的TV版以及手机控制台前端开发和维护；
负责tv端运营平台相关需求，参与产品的技术选型和调研； 
前沿技术学习研究和应用；",TME-全民K歌TV端H5研发工程师,"具备2年以上开发经验，本科以上学历； 
2年或以上的Web前端或移动客户端开发经验，计算机或相关专业、本科及以上学历，基础扎实，熟悉常用的数据结构和算法； 
至少掌握一种主流的前端框架，对vue或者react有丰富的开发经验，对于可视化开发有一定经验，具备一定的框架设计能力； 
熟练掌握一种移动客户端开发语言(ObjC,java, kotlin, C/C++)，有ReactNative, weex经验；
有nodejs开发经验，对前后端分离模式有深入理解并有实际项目经验； 
了解小程序开发；
有性能优化经验，对web端焦点移动开发，大屏开发有相关经验；",2020年06月17日,技术
深圳,"负责腾讯游戏监控告警平台后的设计与开发；
负责监控自有链路采集与采集器框架开发功能；
参与代码评审和代码开源改造。",25923-监控系统开发工程师（Python/Go）（深圳）,"大学本科及以上学历，计算机或者相关专业，5年以上工作经验；
3年以上Python后台开发经验，有良好的编码习惯，熟悉Django/Tornado等web开发框架，熟悉celery等异步任务队列；
2年以上Golang开发经验，熟悉Golang开发流程，有异步逻辑开发经历，深入了解多线程、网络等基础框架；
熟悉大型分布式系统设计与开发；
熟悉Unix/Linux操作系统下的开发，部署，维护等工作；
熟悉业界时序数据库，influxdb，opentsdb等，熟悉业界监控产品，zabbix，Prometheus等；
具有良好的沟通能力、学习能力、分析解决问题能力，高度的责任心和团队合作精神。",2020年07月11日,技术
西安,"1、负责腾讯云产品web前端页面的开发，维护和优化工作；
 2、负责页面相关的接入层的开发（nodejs）；
 3、负责前端框架的搭建，公共组件的开发和维护。",22989-前端开发工程师（腾讯云全资子公司）,"本科及以上学历，计算机相关专业， 三年以上前端工作经验； 
精通HTML/CSS/JavaScript等前端开发语言，以及了解AJAX/HTML5/SPA等各种前端技术； 
掌握Vue/React中至少一种前端框架，并了解底层原理，掌握React优先； 
对nodejs有项目经验，或者至少熟悉一种后台语言，有后台编程经验优先； 
能够熟练使用linux环境下的常用操作；
良好的学习能力、沟通能力、团队协作能力、及分析问题解决问题能力，责任心强。
注：此岗位为腾讯集团旗下全资子公司编制岗位",2020年07月11日,技术
西安,"1、负责腾讯云产品web前端页面的开发，维护和优化工作；
 2、负责页面相关的接入层的开发（nodejs）；
 3、负责前端框架的搭建，公共组件的开发和维护。",22989-前端开发工程师（腾讯云全资子公司）,"本科及以上学历，计算机相关专业， 三年以上前端工作经验； 
精通HTML/CSS/JavaScript等前端开发语言，以及了解AJAX/HTML5/SPA等各种前端技术； 
掌握Vue/React中至少一种前端框架，并了解底层原理，掌握React优先； 
对nodejs有项目经验，或者至少熟悉一种后台语言，有后台编程经验优先； 
能够熟练使用linux环境下的常用操作；
良好的学习能力、沟通能力、团队协作能力、及分析问题解决问题能力，责任心强。
注：此岗位为腾讯集团旗下全资子公司编制岗位",2020年07月11日,技术
深圳,"1.主导解决域名、证书方面现网疑难问题，深入分析，从根本上解决问题。 
2.参与技术方案和系统设计评审，掌握相关的技术架构和原理，能够根据客户需求提供专业的解决方案。
3.通过培训，知识库建设，工具平台建设，流程优化等手段，提升一线服务团队专业度。
4.持续学习和提升自身专业度，与内部前后方同事紧密协作并提升问题处理效率，提供令客户满意甚至超出预期的专业技术服务。",31504-域名解析高级技术顾问,"1.计算机或相关专业、本科及以上学历，有3年以上互联网运维或云平台运维相关经验，熟悉云计算技术及产品，能够独立排查定位缺陷处理故障。
2.熟悉Linux系统管理及Tcp/IP协议，熟练使用工具对问题进行排障分析和性能调优，对服务可用性及大规模服务相关知识有一定的了解 。 
3.熟悉Web应用系统开发，对HTTP及签名加密等有所理解；拥有良好的安全意识，熟悉常见的网络安全攻防策略 。
4.具有较强的沟通能力与团队合作精神；具有良好的分析问题、解决问题的能力以及较强的学习能力 。
5.热爱分享，热衷折腾技术，拥抱开源技术，有技术博客撰写、优秀 Github 开源项目经历优先， 通过腾讯云技术认证或同等资格认证的优先录取。",2020年07月11日,产品
北京,"基于SDN控制器平台opendaylight，开发java应用； 
使用java语言，开发各类网络、云业务模型，并根据网络原理对业务进行编排及控制网络设备；
研究业界最新技术及其应用，解决创新研发过程中的关键问题和技术难点； 
根据项目任务计划按时完成软件编码和单元测试工作； 
按照开发流程编写相应模块的设计文档； 
与产品经理、测试工程师、其他团队沟通合作，保证产品研发工作的质量和进度； 
协调或指导团队里其它开发人员的工作。",TEG02-SDN控制器开发工程师,"大学本科或以上学历，计算机相关专业； 
3年以上服务器后端开发经验； 
5年以上一种主流后端语言编程经验：Java, 或Scala, 或Python 4；熟悉SOA和Web Services（REST, SOAP）系统框架；熟悉主流应用服务器（Tomcat, JBoss, Apache, Nginx, 等）； 
精通数据库设计和性能优化；熟悉主流RDBMS和NoSQL数据库（MySQL, MongoDB, Memcached, Redis等），以及数据库编程（SQL, JDBC, iBatis, OpenJPA, 等） 
熟悉常用工程工具：Jenkins, Maven/Git/SVN, Eclipse/IntelliJ等； 
熟悉设计模式，熟练掌握面向对象编程和事件驱动编程风格； 
有热情，酷爱技术，有良好的计划、沟通、组织协调能力、语言表达能力；较强的逻辑分析能力和应变能力；良好的团队合作精神； 
有敏捷开发（Agile/Scrum）经验者优先。",2020年07月12日,技术
深圳,"基于SDN控制器平台opendaylight，开发java应用； 
使用java语言，开发各类网络、云业务模型，并根据网络原理对业务进行编排及控制网络设备；
研究业界最新技术及其应用，解决创新研发过程中的关键问题和技术难点； 
根据项目任务计划按时完成软件编码和单元测试工作； 
按照开发流程编写相应模块的设计文档； 
与产品经理、测试工程师、其他团队沟通合作，保证产品研发工作的质量和进度； 
协调或指导团队里其它开发人员的工作。",TEG02-SDN控制器开发工程师（深圳）（深圳）,"大学本科或以上学历，计算机相关专业； 
3年以上服务器后端开发经验； 
5年以上一种主流后端语言编程经验：Java, 或Scala, 或Python 4；熟悉SOA和Web Services（REST, SOAP）系统框架；熟悉主流应用服务器（Tomcat, JBoss, Apache, Nginx, 等）； 
精通数据库设计和性能优化；熟悉主流RDBMS和NoSQL数据库（MySQL, MongoDB, Memcached, Redis等），以及数据库编程（SQL, JDBC, iBatis, OpenJPA, 等） 
熟悉常用工程工具：Jenkins, Maven/Git/SVN, Eclipse/IntelliJ等； 
熟悉设计模式，熟练掌握面向对象编程和事件驱动编程风格； 
有热情，酷爱技术，有良好的计划、沟通、组织协调能力、语言表达能力；较强的逻辑分析能力和应变能力；良好的团队合作精神； 
有敏捷开发（Agile/Scrum）经验者优先。",2020年07月12日,技术
深圳,"1 负责应用宝商业化整体技术架构，主导以数据驱动的架构体系的搭建，不断提升产品迭代的效率和研发体系的效率
2 能够从行业技术的领域，利用技术能力的不断演进，推动商业技术能力的创新和提升",27092-后台开发专家（深圳）,"1.本科学历以上，具有8年以上工作经验
2.需要有6年以上分布式服务的架构经验
3.4年及以上的带领10人及以上技术团队的管理经验优先
4.具有优秀的技术规划能力，在人与事的管理上具有优秀的方法论
5.具备强悍的编码能力、扎实的数据结构和算法功底，精通linux环境下系统环境下的后台开发
6.强烈的进取心和主人翁意识，强烈的创新意识
7.熟悉web、客户端、大数据领域者优先",2020年07月12日,技术
深圳,"负责增长业务的后台架构搭建和业务实现，并逐步实现灵活化增长系统能力；
参与项目的需求分析、设计、编码；参与相关系统的运营和维护工作，保证系统稳定可靠运行。",29912-增长后台开发工程师（深圳）,"本科及以上学历；
3年以上相关工作经验；
熟悉 linux/unix 等操作系统，具备扎实的 unix 环境编程能力；
熟悉 c/c++ 语言或 golang 语言，并具备丰富的编程经验和调试经验；
 熟悉网络编程并有相关的开发经验；
良好的沟通能力和团队协作能力；
熟悉web前后端相关技术更佳。",2020年07月12日,技术
